,week,month,year,date,total_revenue
113,49,12,2009,2009-12-01,232177.51
116,50,12,2009,2009-12-07,207908.73
118,51,12,2009,2009-12-14,207685.87
120,52,12,2009,2009-12-21,35731.9
0,1,1,2010,2010-01-04,167636.95
2,2,1,2010,2010-01-11,125493.61
4,3,1,2010,2010-01-18,119473.351
6,4,1,2010,2010-01-25,143198.761
9,5,2,2010,2010-02-01,112299.692
11,6,2,2010,2010-02-08,80059.66
13,7,2,2010,2010-02-15,160506.402
15,8,2,2010,2010-02-22,151693.202
18,9,3,2010,2010-03-01,151813.96
20,10,3,2010,2010-03-08,118785.1
22,11,3,2010,2010-03-15,164459.771
24,12,3,2010,2010-03-22,172063.68
26,13,3,2010,2010-03-29,89855.96
28,13,4,2010,2010-04-01,28646.66
30,14,4,2010,2010-04-06,124314.76
32,15,4,2010,2010-04-12,141539.381
34,16,4,2010,2010-04-19,138922.62
36,17,4,2010,2010-04-26,158558.581
38,17,5,2010,2010-05-02,12342.17
40,18,5,2010,2010-05-04,149102.83
42,19,5,2010,2010-05-10,155673.54
44,20,5,2010,2010-05-17,138681.57
46,21,5,2010,2010-05-24,142033.27
49,22,6,2010,2010-06-01,90358.06
51,23,6,2010,2010-06-07,200239.71
53,24,6,2010,2010-06-14,126987.39
55,25,6,2010,2010-06-21,103924.84
57,26,6,2010,2010-06-28,114861.13
59,26,7,2010,2010-07-01,55932.44
61,27,7,2010,2010-07-05,136775.12
63,28,7,2010,2010-07-12,144495.58
65,29,7,2010,2010-07-19,133616.0
67,30,7,2010,2010-07-26,118917.03
69,30,8,2010,2010-08-01,30637.95
70,31,8,2010,2010-08-02,117866.37
72,32,8,2010,2010-08-09,139842.07
74,33,8,2010,2010-08-16,154786.91
76,34,8,2010,2010-08-23,136279.55
78,35,8,2010,2010-08-31,22811.75
80,35,9,2010,2010-09-01,100807.8
82,36,9,2010,2010-09-06,119333.94
84,37,9,2010,2010-09-13,155778.921
86,38,9,2010,2010-09-20,223587.04
88,39,9,2010,2010-09-27,229506.25
90,39,10,2010,2010-10-01,72886.41
92,40,10,2010,2010-10-04,243007.44
94,41,10,2010,2010-10-11,298614.04
96,42,10,2010,2010-10-18,220882.67
98,43,10,2010,2010-10-25,197721.45
101,44,11,2010,2010-11-01,262597.86
103,45,11,2010,2010-11-08,282707.701
105,46,11,2010,2010-11-15,261610.06100000002
107,47,11,2010,2010-11-22,246492.99
109,48,11,2010,2010-11-29,113051.41
111,48,12,2010,2010-12-01,148627.97
114,49,12,2010,2010-12-06,212619.13
117,50,12,2010,2010-12-13,163116.12
119,51,12,2010,2010-12-20,46059.51
1,1,1,2011,2011-01-04,114636.8
3,2,1,2011,2011-01-10,154344.85
5,3,1,2011,2011-01-17,175452.23
7,4,1,2011,2011-01-24,104861.0
8,5,1,2011,2011-01-31,18806.43
10,5,2,2011,2011-02-01,87149.38
12,6,2,2011,2011-02-07,87827.94
14,7,2,2011,2011-02-14,125700.15
16,8,2,2011,2011-02-21,130380.77
17,9,2,2011,2011-02-28,15026.68
19,9,3,2011,2011-03-01,102360.14
21,10,3,2011,2011-03-07,112193.93000000001
23,11,3,2011,2011-03-14,137669.82
25,12,3,2011,2011-03-21,129560.72
27,13,3,2011,2011-03-28,112297.15
29,13,4,2011,2011-04-01,31360.43
31,14,4,2011,2011-04-04,119697.73
33,15,4,2011,2011-04-11,134930.821
35,16,4,2011,2011-04-18,115969.40000000001
37,17,4,2011,2011-04-26,66415.95
39,17,5,2011,2011-05-01,6958.11
41,18,5,2011,2011-05-03,131094.12
43,19,5,2011,2011-05-09,178574.32
45,20,5,2011,2011-05-16,195818.79
47,21,5,2011,2011-05-23,146776.61
48,22,5,2011,2011-05-31,18133.2
50,22,6,2011,2011-06-01,83907.17
52,23,6,2011,2011-06-06,193704.12
54,24,6,2011,2011-06-13,171702.44
56,25,6,2011,2011-06-20,112600.67
58,26,6,2011,2011-06-27,98131.65
60,26,7,2011,2011-07-01,18119.170000000002
62,27,7,2011,2011-07-04,131222.52
64,28,7,2011,2011-07-11,118078.73
66,29,7,2011,2011-07-18,167284.44
68,30,7,2011,2011-07-25,164258.041
71,31,8,2011,2011-08-01,155943.0
73,32,8,2011,2011-08-08,143544.62
75,33,8,2011,2011-08-15,167634.4
77,34,8,2011,2011-08-22,147595.96
79,35,8,2011,2011-08-30,29333.06
81,35,9,2011,2011-09-01,84492.91
83,36,9,2011,2011-09-05,166212.46
85,37,9,2011,2011-09-12,208718.88
87,38,9,2011,2011-09-19,309091.501
89,39,9,2011,2011-09-26,182174.451
91,39,10,2011,2011-10-02,11479.98
93,40,10,2011,2011-10-03,296214.24
95,41,10,2011,2011-10-10,203708.95
97,42,10,2011,2011-10-17,254775.57
99,43,10,2011,2011-10-24,236456.84
100,44,10,2011,2011-10-31,33006.87
102,44,11,2011,2011-11-01,226367.15
104,45,11,2011,2011-11-07,263717.33
106,46,11,2011,2011-11-14,276216.98
108,47,11,2011,2011-11-21,248234.58
110,48,11,2011,2011-11-28,141669.57
112,48,12,2011,2011-12-01,109163.47
115,49,12,2011,2011-12-05,408044.97000000003
